Solution_ID,Text,Embedding
2,"Centrale froid, ","[ 1.4849375  -1.0354382   0.00451655 ...  0.46901408 -1.966827
  0.7593507 ]"
3,"Centrale froid, Nécessite la refonte totale de la production frigorifique., Amélioration du rendement. Diminution des quantités de tuyauterie;","[ 2.1498878   0.3513001   0.87907803 ...  0.5038615  -0.29309434
  0.19145761]"
4,"Ajustement production/besoin, ","[ 1.259853   -0.42192352  1.1392239  ...  0.46084225  0.3140857
  1.0426279 ]"
5,"Régulation, sur la consommation annuelle totale d'électricité","[ 1.7852585  -1.3573663   1.0380994  ...  0.06154717  0.7765961
  0.35035264]"
6,"Condenseur, Investissement élevé, de la consommation électrique du condenseur","[ 2.1507983  -1.00939     1.7485725  ...  0.79063946 -0.08096959
  1.4297796 ]"
7,"Condenseur, Modification de l'emplacement des condenseurs parfois difficile., Augmentation du transfert d'échange thermique. Amélioration du rendement. Durée de vie des ventilateurs améliorée.","[ 2.6678898   0.00275383  2.0892837  ...  1.1007215   0.09357749
 -0.38255215]"
8,"Centrale froid, de la consommation électrique de la centrale frigorifique","[ 2.3209863  -0.52185434 -0.03214143 ... -0.10618907 -0.9147863
  1.0409681 ]"
9,"Gestion et pilotage, ","[ 2.2236829  -0.8104685   0.6799464  ...  0.6204256  -0.33632445
 -1.3060076 ]"
10,"Evaporateur, ","[ 2.048493   -1.2877996   1.984581   ... -1.7156239  -0.39564404
 -0.4044096 ]"
11,"Chambre froide, de la consommation électrique des centrales frigorifiques du à la chambre froide par la mise en place d'éclairage performant.","[ 0.71540827 -1.3629509  -0.19336417 ...  0.0207383  -2.2396054
  1.5165823 ]"
12,"Gestion et pilotage, ","[ 2.2236829  -0.8104685   0.6799464  ...  0.6204256  -0.33632445
 -1.3060076 ]"
13,"Meuble frigorifique, Investissement important en rétrofit, Réduction de la puissance installée en luminaire Réduction des apports internes (double consommation) Augmentation de l’efficacité des luminaires","[ 1.4470254   0.09246195  0.34945756 ...  0.2528654  -0.84558815
  0.2896397 ]"
14,"Meuble frigorifique, de la consommation électrique des centrales froid la nuit","[ 1.7792645  -1.3746694  -0.3929278  ...  0.03898464 -1.6514144
  0.7953131 ]"
15,"Meuble frigorifique, de la consommation électrique des centrales froid la nuit","[ 1.7792645  -1.3746694  -0.3929278  ...  0.03898464 -1.6514144
  0.7953131 ]"
16,"Meuble frigorifique, ","[ 1.7412006  -1.0337871  -0.37644657 ...  0.78040546 -1.8065605
  0.02443311]"
17,"Stockage, Pertes thermiques à évaluer, Permet de générer du froid lors des heures creuses (économies monétaires)","[ 2.3074331  -0.8287572  -0.60416234 ... -0.13645945 -0.53076255
  0.8080081 ]"
18,"Climatisation, Consommation supplémentaire non négligeable en ventilation mécanique Efficacité réduite en été et mi saison. Mise en place d'une régulation sur l'apport d'air neuf à asservir avec deux sondes de température (intérieur et extérieur), Economie d'énergie due à l'utilisation de l'énergie thermique gratuite de l'air extérieur., Diminution de la consommation du poste climatisation Diminution des émissions de CO2.","[ 1.1842571  -0.36912867  1.2905784  ...  0.10599179 -0.7817198
 -0.22847039]"
19,"Condenseur, L'utilisation de l'aéro-réfrigérant est saisonnier, Diminution de la consommation des groupes frigorifiques.","[ 2.0653446  -0.91795665  0.9984243  ... -0.39079788 -0.71396893
  0.61648744]"
20,"Climatisation, Investissement élevé pour les installations solaires et machines frigorifiques (pour l'instant peu compétitif par rapport à l'utilisation de l'électricité), Consommation électrique faible Très peu d'impacts sur l'environnement Utilisation d'une énergie propre et abondante","[ 1.1765037  -0.99342227  0.02715109 ...  0.7364329   0.0062485
  0.5041038 ]"
21,"Maintenance, de la consommation électrique des centrales frigorifiques","[ 1.4548856  -0.35661894  0.60326004 ... -0.08848874 -0.32939592
  1.2026006 ]"
22,"Chambre froide, ","[-1.0949218  -0.14234239 -0.31444806 ...  0.8674524  -2.2281702
  0.9783231 ]"
23,"Réseau, Sur réseau existant parfois difficile à mettre en oeuvre (nécessité d'arrêter les installations ou de by-passer le réseau), Réduction des pertes de charge Peu coûteux","[ 1.5730563  -0.14675708  0.601816   ...  0.85383797 -0.67678756
 -0.52929133]"
24,"Maintenance, de la consommation électrique des centrales frigorifiques","[ 1.4548856  -0.35661894  0.60326004 ... -0.08848874 -0.32939592
  1.2026006 ]"
25,"Evaporateur, Résistance électrique : Pas adéquat sur les cycles utilisant de l'ammoniac Coûteux en énergie sans possibilité de la récupérer. Dégivrage à air : Application limitée Possible dépôt de goutte d’eau sur la marchandise pouvant entrainer moisissures, de l'énergie consommée par l'installation frigorifique. Dégivrage à la demande : 15% à 20% d’économie par rapport à un dégivrage programmé (30min toute les 8h)., Résistance électrique : Faible encombrement Mise en œuvre simple Faible coût d’installation Injection de gaz chauds : Pas de consommation d’énergie supplémentaire","[ 1.9666132  -0.07567916  0.37670362 ...  0.28599924 -0.7331448
 -0.6784299 ]"
26,"Evaporateur, Doit être réfléchie en fonction des besoins et du site environnant., de surconsommation d'électricité des compresseurs pour un écart trop important d'1°C., Meilleure efficacité Réduction des investissements","[ 0.38191083 -0.37815073  0.44760588 ...  0.18038376  0.13376214
  0.4208645 ]"
27,"Maintenance, Procédures régulière à mettre en place, de diminution de la consommation des compresseurs pour une diminution de la température de condensation de 10°C., Augmentation de la durée de vie des échangeurs. Augmentation du rendement (COP) du cycle frigorifique","[ 2.4374812  -0.31703287  1.3867416  ... -0.3446688   0.06840913
  0.3526664 ]"
